w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[0.7920239, 3.75463, 3.437898, 56.19209, 0.9488415]
gene	p_phi_neg	q_phi_neg	phi_neg	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs
C16orf55	6.093557e-01	7.610728e-01	0.776169	7.523037e-01	1.000000e+00	0.449121	1	0	0
C16orf58	6.944177e-02	2.284053e-01	2.658027	8.928747e-01	1.000000e+00	0.039566	1	0	2
C16orf59	1.056377e-01	2.939963e-01	2.318776	8.700632e-01	1.000000e+00	0.116748	3	0	3
C16orf62	4.171578e-03	4.061902e-02	5.100125	4.441159e-01	1.000000e+00	1.317621	5	3	8
C16orf70	6.571913e-01	7.952761e-01	0.681211	2.780331e-01	1.000000e+00	1.960166	3	1	1
C16orf71	2.355120e-01	4.737141e-01	1.546940	7.048359e-01	1.000000e+00	0.527716	9	0	4
C16orf72	2.457231e-03	2.902954e-02	5.563460	1.000000e+00	1.000000e+00	0.003835	0	0	3
C16orf74	3.591664e-01	5.925055e-01	1.200561	1.000000e+00	1.000000e+00	0.301025	0	0	0
C16orf78	2.459677e-01	4.853312e-01	1.506679	6.327262e-01	1.000000e+00	0.740488	14	1	5
C16orf80	6.704543e-01	8.043900e-01	0.672650	7.523037e-01	1.000000e+00	0.455202	1	0	0
C16orf85	5.125183e-03	4.610442e-02	4.929591	1.000000e+00	1.000000e+00	0.003641	1	0	4
C16orf86	4.604611e-01	6.561544e-01	1.043507	1.000000e+00	1.000000e+00	0.352217	0	0	0
C16orf87	3.021144e-01	5.431773e-01	1.323317	1.000000e+00	1.000000e+00	0.266251	0	0	0
C16orf89	2.080610e-02	1.110253e-01	3.714175	8.866370e-01	1.000000e+00	0.045353	5	0	5
C16orf90	9.319851e-01	9.591682e-01	0.252514	3.328047e-01	1.000000e+00	1.720358	4	0	0
C16orf91	1.823654e-01	4.073759e-01	1.793516	8.700632e-01	1.000000e+00	0.117839	1	0	1
C16orf92	5.618058e-03	4.891169e-02	4.850610	1.000000e+00	1.000000e+00	0.005237	2	0	5
C16orf93	3.821529e-01	6.096809e-01	1.160137	1.000000e+00	1.000000e+00	0.313443	0	0	0
C16orf96	4.339959e-01	6.415591e-01	1.089863	1.000000e+00	1.000000e+00	0.336263	0	0	0
C16orf98	5.583235e-01	7.244815e-01	0.862278	1.000000e+00	1.000000e+00	0.422199	0	0	0
C17orf100	5.291939e-01	7.017073e-01	0.932722	1.000000e+00	1.000000e+00	0.393481	0	0	0
C17orf102	2.944159e-01	5.359960e-01	1.355378	8.519965e-01	1.000000e+00	0.152891	1	0	1
C17orf103	4.470303e-01	6.486526e-01	1.078122	7.887800e-01	1.000000e+00	0.364152	2	0	1
C17orf104	1.261224e-01	3.268814e-01	2.150368	8.603539e-01	1.000000e+00	0.127159	3	0	2
C17orf105	3.021144e-01	5.431773e-01	1.328364	1.000000e+00	1.000000e+00	0.264910	0	0	0
C17orf107	5.291939e-01	7.017073e-01	0.939080	1.000000e+00	1.000000e+00	0.390988	0	0	0
C17orf47	1.712883e-01	3.914381e-01	1.854979	8.075896e-01	1.000000e+00	0.315781	8	0	4
C17orf50	3.705722e-01	6.009644e-01	1.192913	1.000000e+00	1.000000e+00	0.303336	0	0	0
C17orf51	4.339959e-01	6.415591e-01	1.084457	1.000000e+00	1.000000e+00	0.338085	0	0	0
C17orf53	7.366674e-01	8.435454e-01	0.570625	5.433230e-01	1.000000e+00	0.991951	5	0	1
C17orf58	9.865174e-02	2.820391e-01	2.361768	1.000000e+00	1.000000e+00	0.094253	0	0	1
C17orf59	2.803314e-02	1.320047e-01	3.447347	1.000000e+00	1.000000e+00	0.031830	0	0	2
C17orf62	6.571913e-01	7.952761e-01	0.685022	7.404675e-01	1.000000e+00	0.477236	1	0	0
C17orf64	2.159434e-01	4.487642e-01	1.639605	8.373442e-01	1.000000e+00	0.217719	2	0	1
C17orf66	4.074967e-01	6.253665e-01	1.121124	6.455981e-01	1.000000e+00	0.711571	7	0	2
C17orf67	7.231776e-01	8.359964e-01	0.590514	5.296403e-01	1.000000e+00	1.022059	5	0	1
C17orf70	6.281117e-02	2.144172e-01	2.729883	8.700632e-01	1.000000e+00	0.102167	7	0	6
C17orf74	2.511340e-02	1.238158e-01	3.556210	8.075896e-01	1.000000e+00	0.303960	9	1	8
C17orf75	2.303404e-01	4.667318e-01	1.572404	8.373442e-01	1.000000e+00	0.216953	2	0	1
C17orf76-AS1	7.366674e-01	8.435454e-01	0.573627	7.048359e-01	1.000000e+00	0.538662	1	0	0
C17orf77	3.116897e-02	1.410082e-01	3.349750	8.825583e-01	1.000000e+00	0.078393	6	0	5
C17orf78	8.951748e-02	2.658182e-01	2.449500	8.782260e-01	1.000000e+00	0.088338	2	0	2
C17orf80	6.967767e-01	8.200525e-01	0.638237	1.216454e-01	1.000000e+00	3.023172	4	2	1
C17orf82	7.878585e-01	8.759406e-01	0.491708	6.800439e-01	1.000000e+00	0.580568	1	0	0
C17orf85	3.182542e-01	5.576395e-01	1.280148	1.000000e+00	1.000000e+00	0.277996	0	0	0
C17orf96	5.482821e-01	7.165826e-01	0.899812	1.000000e+00	1.000000e+00	0.406646	0	0	0
C17orf97	5.980571e-02	2.085045e-01	2.769145	8.825583e-01	1.000000e+00	0.068649	3	0	3
C17orf98	8.385496e-01	9.058607e-01	0.415466	5.649398e-01	1.000000e+00	0.929035	2	0	0
C17orf99	3.944641e-01	6.174479e-01	1.141703	1.000000e+00	1.000000e+00	0.319275	0	0	0
C18orf21	5.877138e-01	7.457693e-01	0.812016	7.734223e-01	1.000000e+00	0.414401	1	0	0
C18orf25	7.821708e-04	1.386515e-02	6.615511	7.048359e-01	1.000000e+00	0.520547	0	1	4
C18orf32	3.481410e-01	5.837061e-01	1.226050	1.000000e+00	1.000000e+00	0.293450	0	0	0
C18orf42	2.944159e-01	5.359960e-01	1.349949	1.000000e+00	1.000000e+00	0.259254	0	0	0
C18orf54	1.723633e-02	9.908634e-02	3.867456	1.000000e+00	1.000000e+00	0.018344	2	0	3
C18orf56	5.678239e-01	7.316215e-01	0.848466	1.000000e+00	1.000000e+00	0.428071	0	0	0
C18orf63	3.276028e-01	5.667841e-01	1.260949	1.000000e+00	1.000000e+00	0.283385	0	0	0
C18orf8	3.021144e-01	5.431773e-01	1.334658	8.202168e-01	1.000000e+00	0.268194	2	0	1
C19orf10	8.385496e-01	9.058607e-01	0.413037	5.502339e-01	1.000000e+00	0.971513	2	0	0
C19orf12	6.967767e-01	8.200525e-01	0.638922	7.153095e-01	1.000000e+00	0.507609	1	0	0
C19orf18	2.159434e-01	4.487642e-01	1.632436	8.140469e-01	1.000000e+00	0.299993	4	0	2
C19orf24	5.188846e-01	6.947493e-01	0.946605	1.000000e+00	1.000000e+00	0.388056	0	0	0
C19orf26	6.836708e-01	8.125175e-01	0.654638	6.109468e-01	1.000000e+00	0.810875	4	0	1
C19orf33	8.385496e-01	9.058607e-01	0.412465	3.821779e-01	1.000000e+00	1.522288	4	0	0
C19orf35	8.385496e-01	9.058607e-01	0.411660	1.295653e-01	1.000000e+00	2.940659	1	1	0
C19orf38	4.731901e-01	6.640029e-01	1.021115	1.000000e+00	1.000000e+00	0.360193	0	0	0
C19orf40	7.231776e-01	8.359964e-01	0.581493	7.048359e-01	1.000000e+00	0.537442	1	0	0
C19orf43	4.206400e-01	6.322811e-01	1.117784	1.000000e+00	1.000000e+00	0.327004	0	0	0
C19orf44	9.319851e-01	9.591682e-01	0.248954	2.824851e-01	1.000000e+00	1.950519	5	0	0
C19orf45	1.861781e-01	4.122909e-01	1.779499	7.887800e-01	1.000000e+00	0.361103	8	0	4
C19orf47	8.510000e-01	9.129701e-01	0.387959	5.575021e-01	1.000000e+00	0.959386	2	0	0
C19orf48	3.821529e-01	6.096809e-01	1.161476	1.000000e+00	1.000000e+00	0.313024	0	0	0
C19orf52	8.131665e-01	8.910747e-01	0.451282	5.502339e-01	1.000000e+00	0.976494	2	0	0
C19orf53	7.099039e-01	8.285024e-01	0.616431	7.153095e-01	1.000000e+00	0.518543	1	0	0
C19orf54	5.482821e-01	7.165826e-01	0.896180	2.103754e-01	1.000000e+00	2.320148	0	1	0
C19orf55	2.745455e-02	1.303323e-01	3.468212	8.866370e-01	1.000000e+00	0.040431	4	0	5
C19orf57	3.164399e-03	3.371385e-02	5.327681	5.649398e-01	1.000000e+00	0.936735	4	2	8
C19orf59	1.342959e-01	3.394863e-01	2.086829	8.519965e-01	1.000000e+00	0.157402	3	0	2
C19orf60	4.604611e-01	6.561544e-01	1.049490	1.000000e+00	1.000000e+00	0.350116	0	0	0
C19orf66	3.276028e-01	5.667841e-01	1.276380	8.140469e-01	1.000000e+00	0.299975	2	0	1
C19orf69	3.182542e-01	5.576395e-01	1.287464	1.000000e+00	1.000000e+00	0.275970	0	0	0
C19orf70	3.944641e-01	6.174479e-01	1.140873	1.000000e+00	1.000000e+00	0.319540	0	0	0
C19orf71	4.604611e-01	6.561544e-01	1.049728	1.000000e+00	1.000000e+00	0.350033	0	0	0
C19orf73	5.291939e-01	7.017073e-01	0.923243	1.000000e+00	1.000000e+00	0.397229	0	0	0
C19orf77	3.021144e-01	5.431773e-01	1.336664	1.000000e+00	1.000000e+00	0.262721	0	0	0
C19orf80	1.234991e-01	3.229070e-01	2.174829	1.000000e+00	1.000000e+00	0.113628	0	0	1
C1D	2.698311e-03	3.084303e-02	5.497829	1.000000e+00	1.000000e+00	0.004096	0	0	2
C1GALT1	2.514483e-01	4.909554e-01	1.487359	5.958516e-01	1.000000e+00	0.851644	5	1	2
C1GALT1C1	6.444355e-01	7.866226e-01	0.702467	6.631273e-01	1.000000e+00	0.649216	2	0	0
C1QA	8.987928e-01	9.406710e-01	0.310812	4.423729e-02	1.000000e+00	4.243489	5	2	1
C1QB	3.276028e-01	5.667841e-01	1.276189	7.048359e-01	1.000000e+00	0.528728	9	0	4
C1QBP	1.645344e-01	3.836602e-01	1.895907	8.700632e-01	1.000000e+00	0.100748	1	0	1
C1QC	7.878585e-01	8.759406e-01	0.486509	2.867656e-01	1.000000e+00	1.923824	10	1	3
C1QL1	7.099039e-01	8.285024e-01	0.617954	7.404675e-01	1.000000e+00	0.474014	1	0	0
C1QL2	1.485714e-01	3.605816e-01	1.999039	8.700632e-01	1.000000e+00	0.103926	2	0	2
C1QL3	7.099039e-01	8.285024e-01	0.613330	7.273599e-01	1.000000e+00	0.497209	1	0	0
C1QL4	9.407657e-02	2.747666e-01	2.417796	1.000000e+00	1.000000e+00	0.089118	0	0	1
C1QTNF1	1.342959e-01	3.394863e-01	2.085447	8.202168e-01	1.000000e+00	0.262768	6	0	3
C1QTNF2	1.288921e-01	3.308443e-01	2.127784	8.202168e-01	1.000000e+00	0.264663	10	0	6
C1QTNF3	1.370085e-01	3.434596e-01	2.065384	6.514304e-01	1.000000e+00	0.698382	6	1	4
C1QTNF4	7.487232e-02	2.382081e-01	2.598822	8.928747e-01	1.000000e+00	0.038241	1	0	2
C1QTNF6	2.400086e-03	2.860792e-02	5.593159	1.000000e+00	1.000000e+00	0.001908	1	0	4
C1QTNF7	5.230544e-03	4.669217e-02	4.910570	1.000000e+00	1.000000e+00	0.014945	5	0	6
C1QTNF8	2.459677e-01	4.853312e-01	1.519612	8.262367e-01	1.000000e+00	0.241561	3	0	2
C1QTNF9	9.781760e-01	9.874335e-01	0.158394	7.948141e-02	1.000000e+00	3.547765	14	1	2
C1QTNF9B	7.231776e-01	8.359964e-01	0.580374	3.328047e-01	1.000000e+00	1.732215	11	0	2
C1QTNF9B-AS1	4.731901e-01	6.640029e-01	1.037001	1.000000e+00	1.000000e+00	0.354516	0	0	0
C1R	8.739598e-02	2.619774e-01	2.461355	7.635844e-01	1.000000e+00	0.424549	17	0	7
C1RL	4.470303e-01	6.486526e-01	1.061456	5.296403e-01	1.000000e+00	1.021301	13	1	5
C1S	6.944177e-02	2.284053e-01	2.645892	7.817083e-01	1.000000e+00	0.394141	23	2	11
C1orf100	6.704543e-01	8.043900e-01	0.679234	7.273599e-01	1.000000e+00	0.498787	1	0	0
C1orf101	5.833958e-02	2.054266e-01	2.784120	7.404675e-01	1.000000e+00	0.479226	5	1	4
C1orf105	1.980856e-01	4.275516e-01	1.708721	2.780331e-01	1.000000e+00	1.978057	5	2	3
C1orf106	3.276028e-01	5.667841e-01	1.266364	5.502339e-01	1.000000e+00	0.977793	22	1	9
C1orf109	3.182542e-01	5.576395e-01	1.284215	8.075896e-01	1.000000e+00	0.304020	2	0	1
C1orf110	7.366674e-01	8.435454e-01	0.578770	6.327262e-01	1.000000e+00	0.759406	2	0	0
C1orf111	1.070217e-02	7.393289e-02	4.269454	6.741616e-01	1.000000e+00	0.608963	2	1	4
C1orf112	2.205382e-01	4.545177e-01	1.609662	4.325512e-01	1.000000e+00	1.343216	1	1	1
C1orf115	7.464552e-03	5.903955e-02	4.597892	1.000000e+00	1.000000e+00	0.010073	0	0	3
C1orf116	1.181989e-01	3.135731e-01	2.211004	8.140469e-01	1.000000e+00	0.285051	11	0	6
C1orf122	4.974303e-01	6.800728e-01	0.999762	1.000000e+00	1.000000e+00	0.367967	0	0	0
C1orf123	1.315226e-01	3.352909e-01	2.119451	8.782260e-01	1.000000e+00	0.091009	1	0	1
C1orf127	9.319851e-01	9.591682e-01	0.249836	1.068592e-01	1.000000e+00	3.190263	23	2	6
C1orf131	4.339959e-01	6.415591e-01	1.097314	3.185649e-01	1.000000e+00	1.784368	0	1	0
C1orf140	3.481410e-01	5.837061e-01	1.220448	1.000000e+00	1.000000e+00	0.295098	0	0	0
C1orf141	4.731901e-01	6.640029e-01	1.022027	6.109468e-01	1.000000e+00	0.814792	10	0	2
C1orf145	4.339959e-01	6.415591e-01	1.082040	1.000000e+00	1.000000e+00	0.338903	0	0	0
C1orf146	6.321619e-01	7.776416e-01	0.728843	7.523037e-01	1.000000e+00	0.459862	1	0	0
C1orf158	3.481410e-01	5.837061e-01	1.223897	5.433230e-01	1.000000e+00	0.991884	12	0	3
C1orf159	2.737866e-01	5.147044e-01	1.404430	8.519965e-01	1.000000e+00	0.141831	1	0	1
C1orf162	6.836708e-01	8.125175e-01	0.645867	7.523037e-01	1.000000e+00	0.458990	1	0	0
C1orf168	5.014108e-02	1.877876e-01	2.902089	7.950766e-01	1.000000e+00	0.352949	45	3	17
C1orf170	5.087289e-01	6.875631e-01	0.970981	1.000000e+00	1.000000e+00	0.378711	0	0	0
C1orf172	2.355120e-01	4.737141e-01	1.548895	5.958516e-01	1.000000e+00	0.852746	7	1	4
C1orf173	0.000000e+00	0.000000e+00	21.409854	1.000000e+00	1.000000e+00	0.000751	102	0	52
C1orf174	6.321619e-01	7.776416e-01	0.726007	7.635844e-01	1.000000e+00	0.420186	1	0	0
C1orf177	2.821529e-04	6.839827e-03	7.533657	8.782260e-01	1.000000e+00	0.096774	6	1	10
C1orf180	4.074967e-01	6.253665e-01	1.135400	1.000000e+00	1.000000e+00	0.321294	0	0	0
C1orf185	3.276028e-01	5.667841e-01	1.270169	1.000000e+00	1.000000e+00	0.280784	0	0	0
C1orf186	1.645344e-01	3.836602e-01	1.889393	8.202168e-01	1.000000e+00	0.278208	7	0	3
C1orf189	5.388496e-01	7.093707e-01	0.909674	7.817083e-01	1.000000e+00	0.391799	1	0	0
C1orf192	5.583235e-01	7.244815e-01	0.870147	6.741616e-01	1.000000e+00	0.601048	4	0	1
C1orf194	5.678239e-01	7.316215e-01	0.853124	3.232437e-01	1.000000e+00	1.767419	3	1	1
C1orf198	8.872299e-01	9.334367e-01	0.323777	3.522912e-01	1.000000e+00	1.653164	4	0	0
C1orf200	6.444355e-01	7.866226e-01	0.703835	5.575021e-01	1.000000e+00	0.946103	5	0	1
C1orf21	2.802136e-01	5.217423e-01	1.385096	1.000000e+00	1.000000e+00	0.250300	0	0	0
C1orf210	3.821529e-01	6.096809e-01	1.166850	7.523037e-01	1.000000e+00	0.445361	4	0	2
C1orf213	4.604611e-01	6.561544e-01	1.051700	1.000000e+00	1.000000e+00	0.349343	0	0	0
C1orf216	1.397764e-01	3.474123e-01	2.056722	8.700632e-01	1.000000e+00	0.106504	2	0	2
C1orf222	5.690739e-02	2.021761e-01	2.816877	8.825583e-01	1.000000e+00	0.079034	6	0	5
C1orf226	5.136255e-02	1.908307e-01	2.889159	8.928747e-01	1.000000e+00	0.038362	2	0	3
C1orf227	1.823654e-01	4.073759e-01	1.794193	4.988142e-01	1.000000e+00	1.121397	1	1	1
C1orf228	4.206400e-01	6.322811e-01	1.119130	1.000000e+00	1.000000e+00	0.326564	0	0	0
C1orf229	5.482821e-01	7.165826e-01	0.880165	1.000000e+00	1.000000e+00	0.414714	0	0	0
C1orf27	3.377835e-01	5.754898e-01	1.244291	7.887800e-01	1.000000e+00	0.377309	3	0	1
C1orf35	3.377835e-01	5.754898e-01	1.255406	1.000000e+00	1.000000e+00	0.284960	0	0	0
C1orf43	9.319851e-01	9.591682e-01	0.259436	3.426265e-01	1.000000e+00	1.699150	4	0	0
C1orf50	7.099039e-01	8.285024e-01	0.607992	7.153095e-01	1.000000e+00	0.516454	1	0	0
C1orf51	3.993000e-03	3.954023e-02	5.145292	1.000000e+00	1.000000e+00	0.012876	7	0	8
C1orf52	5.678239e-01	7.316215e-01	0.855259	7.734223e-01	1.000000e+00	0.417958	1	0	0
C1orf53	6.704543e-01	8.043900e-01	0.665318	7.273599e-01	1.000000e+00	0.489313	1	0	0
C1orf54	3.705722e-01	6.009644e-01	1.190840	1.000000e+00	1.000000e+00	0.303966	0	0	0
C1orf56	4.731901e-01	6.640029e-01	1.020812	7.950766e-01	1.000000e+00	0.357211	2	0	1
C1orf61	4.470303e-01	6.486526e-01	1.075130	6.949945e-01	1.000000e+00	0.558110	6	0	2
C1orf63	2.802136e-01	5.217423e-01	1.399717	4.683239e-01	1.000000e+00	1.226284	1	1	1
C1orf64	7.498875e-01	8.509575e-01	0.549045	4.926855e-01	1.000000e+00	1.151578	5	0	1
C1orf65	1.522554e-02	9.218294e-02	3.962594	8.202168e-01	1.000000e+00	0.276652	12	2	10
C1orf68	4.604611e-01	6.561544e-01	1.044206	1.000000e+00	1.000000e+00	0.351971	0	0	0
C1orf74	3.182542e-01	5.576395e-01	1.291767	3.522912e-01	1.000000e+00	1.648437	1	1	1
C1orf85	4.194436e-02	1.679754e-01	3.061458	8.866370e-01	1.000000e+00	0.045039	3	0	4
C1orf86	4.855513e-01	6.713058e-01	1.012364	1.000000e+00	1.000000e+00	0.363359	0	0	0
C1orf87	3.384407e-02	1.482246e-01	3.273387	7.950766e-01	1.000000e+00	0.351741	21	0	8
C1orf94	1.288921e-01	3.308443e-01	2.120332	5.726097e-01	1.000000e+00	0.916696	24	3	13
C1orf95	2.291689e-02	1.172606e-01	3.637550	1.000000e+00	1.000000e+00	0.026317	0	0	2
C1orf99	4.974303e-01	6.800728e-01	0.993074	1.000000e+00	1.000000e+00	0.370436	0	0	0
C20orf112	8.753366e-01	9.257243e-01	0.351482	4.623201e-01	1.000000e+00	1.249627	3	0	0
C20orf141	5.087289e-01	6.875631e-01	0.976602	7.887800e-01	1.000000e+00	0.367954	2	0	1
C20orf144	1.081271e-01	2.974212e-01	2.299634	1.000000e+00	1.000000e+00	0.100296	0	0	1
C20orf166	2.066770e-01	4.378428e-01	1.673582	8.603539e-01	1.000000e+00	0.127566	1	0	1
C20orf166-AS1	4.974303e-01	6.800728e-01	0.981708	1.000000e+00	1.000000e+00	0.374671	0	0	0
C20orf173	3.182542e-01	5.576395e-01	1.299185	1.000000e+00	1.000000e+00	0.272754	0	0	0
C20orf194	2.407157e-01	4.798377e-01	1.532048	6.741616e-01	1.000000e+00	0.614429	12	0	4
C20orf195	9.425247e-01	9.661267e-01	0.225804	2.421194e-01	1.000000e+00	2.156909	5	0	0
C20orf196	6.281117e-02	2.144172e-01	2.720913	8.825583e-01	1.000000e+00	0.061626	2	0	2
C20orf197	4.339959e-01	6.415591e-01	1.080388	7.523037e-01	1.000000e+00	0.443338	3	0	1
C20orf202	4.470303e-01	6.486526e-01	1.061895	1.000000e+00	1.000000e+00	0.345800	0	0	0
C20orf26	0.000000e+00	0.000000e+00	13.586048	1.000000e+00	1.000000e+00	0.004047	29	1	28
C20orf27	2.023304e-01	4.325126e-01	1.684128	8.700632e-01	1.000000e+00	0.114343	1	0	1
C20orf85	4.283010e-02	1.701717e-01	3.049359	8.825583e-01	1.000000e+00	0.070568	3	0	3
C20orf96	5.482821e-01	7.165826e-01	0.897385	6.514304e-01	1.000000e+00	0.696863	4	0	1
C21orf128	8.006250e-01	8.832427e-01	0.472293	5.803636e-01	1.000000e+00	0.889932	2	0	0
C21orf2	4.470303e-01	6.486526e-01	1.067227	1.000000e+00	1.000000e+00	0.343961	0	0	0
C21orf33	7.627915e-01	8.600584e-01	0.529515	6.867120e-01	1.000000e+00	0.571012	1	0	0
C21orf54	4.470303e-01	6.486526e-01	1.065398	1.000000e+00	1.000000e+00	0.344591	0	0	0
C21orf58	5.678239e-01	7.316215e-01	0.848261	2.205114e-01	1.000000e+00	2.277155	0	1	0
C21orf59	5.291939e-01	7.017073e-01	0.925858	5.050466e-01	1.000000e+00	1.110250	7	0	1
C21orf62	8.753366e-01	9.257243e-01	0.341580	4.805547e-01	1.000000e+00	1.180851	3	0	0
C21orf67	4.731901e-01	6.640029e-01	1.026522	1.000000e+00	1.000000e+00	0.358251	0	0	0
C21orf88	4.731901e-01	6.640029e-01	1.023350	1.000000e+00	1.000000e+00	0.359389	0	0	0
C21orf91	5.583235e-01	7.244815e-01	0.872415	7.817083e-01	1.000000e+00	0.383533	1	0	0
C22orf15	6.967767e-01	8.200525e-01	0.634686	7.273599e-01	1.000000e+00	0.488605	1	0	0
C22orf23	2.253545e-01	4.606797e-01	1.599595	8.012733e-01	1.000000e+00	0.331594	4	0	2
C22orf24	1.784939e-01	4.020959e-01	1.817733	8.700632e-01	1.000000e+00	0.112996	1	0	1
C22orf26	8.131665e-01	8.910747e-01	0.452299	6.687257e-01	1.000000e+00	0.623222	1	0	0
C22orf29	1.645344e-01	3.836602e-01	1.885914	8.262367e-01	1.000000e+00	0.241033	5	0	3
C22orf31	2.620969e-01	5.031160e-01	1.455472	8.262367e-01	1.000000e+00	0.256229	2	0	1
C22orf39	4.470303e-01	6.486526e-01	1.079718	1.000000e+00	1.000000e+00	0.339691	0	0	0
C22orf42	4.470303e-01	6.486526e-01	1.064639	4.623201e-01	1.000000e+00	1.253371	5	1	2
C22orf43	8.951748e-02	2.658182e-01	2.447996	8.700632e-01	1.000000e+00	0.116615	5	0	3
C22orf46	3.821529e-01	6.096809e-01	1.177616	1.000000e+00	1.000000e+00	0.308012	0	0	0
C2CD2	1.901854e-03	2.468707e-02	5.787701	1.000000e+00	1.000000e+00	0.017918	10	0	10
C2CD2L	2.205382e-01	4.545177e-01	1.612188	8.321386e-01	1.000000e+00	0.225392	3	0	2
C2CD3	1.010322e-01	2.864318e-01	2.347782	6.109468e-01	1.000000e+00	0.801006	15	2	9
C2CD4A	9.101182e-01	9.467908e-01	0.291338	4.926855e-01	1.000000e+00	1.147413	2	0	0
C2CD4B	5.482821e-01	7.165826e-01	0.896722	1.000000e+00	1.000000e+00	0.407905	0	0	0
C2CD4C	4.974303e-01	6.800728e-01	0.988681	1.000000e+00	1.000000e+00	0.372067	0	0	0
C2CD4D	5.087289e-01	6.875631e-01	0.963990	1.000000e+00	1.000000e+00	0.381368	0	0	0
C2CD5	3.705722e-01	6.009644e-01	1.197105	1.000000e+00	1.000000e+00	0.302067	0	0	0
C2orf15	4.206400e-01	6.322811e-01	1.115487	7.635844e-01	1.000000e+00	0.431459	3	0	1
C2orf16	8.951748e-02	2.658182e-01	2.443755	6.033340e-01	1.000000e+00	0.837934	34	4	15
C2orf27A	4.074967e-01	6.253665e-01	1.133984	1.000000e+00	1.000000e+00	0.321749	0	0	0
C2orf27B	6.571913e-01	7.952761e-01	0.680322	7.404675e-01	1.000000e+00	0.479936	1	0	0
C2orf40	3.821529e-01	6.096809e-01	1.177807	1.158256e-01	1.000000e+00	3.098198	5	3	3
C2orf42	5.014108e-02	1.877876e-01	2.911066	7.273599e-01	1.000000e+00	0.498108	5	1	5
C2orf43	8.131665e-01	8.910747e-01	0.458918	5.110843e-01	1.000000e+00	1.091726	3	0	0
C2orf44	2.514483e-01	4.909554e-01	1.482888	3.622629e-01	1.000000e+00	1.602626	1	1	1
C2orf47	6.836708e-01	8.125175e-01	0.646244	7.153095e-01	1.000000e+00	0.503389	1	0	0
C2orf48	1.861781e-01	4.122909e-01	1.767833	8.700632e-01	1.000000e+00	0.116938	1	0	1
C2orf49	5.877138e-01	7.457693e-01	0.808630	7.635844e-01	1.000000e+00	0.421638	1	0	0
C2orf50	9.524947e-01	9.717570e-01	0.205643	9.854281e-02	1.000000e+00	3.295208	3	1	0
C2orf53	1.851138e-02	1.034531e-01	3.808815	8.866370e-01	1.000000e+00	0.044767	11	0	10
C2orf54	8.521019e-02	2.580778e-01	2.491594	8.603539e-01	1.000000e+00	0.126973	5	0	4
C2orf57	8.987928e-01	9.406710e-01	0.301445	4.441159e-01	1.000000e+00	1.302483	3	0	0
C2orf61	8.260313e-01	8.980546e-01	0.437422	5.803636e-01	1.000000e+00	0.894445	2	0	0
C2orf62	7.696703e-02	2.422301e-01	2.566238	8.700632e-01	1.000000e+00	0.119015	4	0	3
C2orf66	3.591664e-01	5.925055e-01	1.200411	3.821779e-01	1.000000e+00	1.536612	2	1	1
C2orf68	4.074967e-01	6.253665e-01	1.125061	1.000000e+00	1.000000e+00	0.324633	0	0	0
C2orf69	3.705722e-01	6.009644e-01	1.197072	1.000000e+00	1.000000e+00	0.302077	0	0	0
C2orf70	3.377835e-01	5.754898e-01	1.240016	8.075896e-01	1.000000e+00	0.300404	2	0	1
C2orf71	2.944159e-01	5.359960e-01	1.355832	5.433230e-01	1.000000e+00	0.990335	37	2	13
C2orf72	5.188846e-01	6.947493e-01	0.946733	1.000000e+00	1.000000e+00	0.388007	0	0	0
C2orf73	5.982892e-01	7.524875e-01	0.789197	7.734223e-01	1.000000e+00	0.408091	1	0	0
C2orf74	3.377835e-01	5.754898e-01	1.259212	1.000000e+00	1.000000e+00	0.283878	0	0	0
C2orf76	7.231776e-01	8.359964e-01	0.581654	6.327262e-01	1.000000e+00	0.753687	2	0	0
C2orf78	1.426480e-01	3.518788e-01	2.025080	7.273599e-01	1.000000e+00	0.489835	26	1	12
C2orf80	5.087289e-01	6.875631e-01	0.961340	6.327262e-01	1.000000e+00	0.746259	5	0	1
C2orf81	4.470303e-01	6.486526e-01	1.068490	1.000000e+00	1.000000e+00	0.343527	0	0	0
C2orf83	2.745455e-02	1.303323e-01	3.470334	8.928747e-01	1.000000e+00	0.028842	2	0	3
C2orf88	2.514483e-01	4.909554e-01	1.494759	1.000000e+00	1.000000e+00	0.224303	0	0	0
C2orf91	3.377835e-01	5.754898e-01	1.243681	1.000000e+00	1.000000e+00	0.288321	0	0	0
C3	1.785778e-05	8.841733e-04	9.855746	8.928747e-01	1.000000e+00	0.023567	45	3	33
C3AR1	9.425247e-01	9.661267e-01	0.233624	2.913568e-01	1.000000e+00	1.912864	5	0	0
C3orf14	6.444355e-01	7.866226e-01	0.708463	7.523037e-01	1.000000e+00	0.443944	1	0	0
C3orf17	7.623487e-03	5.984020e-02	4.569581	1.000000e+00	1.000000e+00	0.005976	1	0	3
C3orf18	8.753366e-01	9.257243e-01	0.354221	4.683239e-01	1.000000e+00	1.238337	3	0	0
C3orf20	1.131987e-01	3.051215e-01	2.253189	6.256813e-01	1.000000e+00	0.765689	23	3	12
